ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
1615,Maharashtra,Mumbai,Indiranagar,Apartment,2,1238,174.33,14081.58,1994,Unfurnished,1.0,8,30,9.0,3,4,3,None,Gym+Pool,East,Builder,Sold
1616,Tamil Nadu,Madurai,HSR Layout,Apartment,2,833,37.52,4504.2,2018,Unfurnished,11.0,14,6,4.0,2,1,0,Gated,Pool,South-West,Agent,Available
1617,Gujarat,Surat,Thane,Apartment,4,1888,120.39,6376.59,2006,Semi-Furnished,8.0,17,18,7.0,4,5,1,None,All,North,Individual,Available
1618,Tamil Nadu,Coimbatore,Satellite,Apartment,2,1133,51.35,4532.22,1993,Semi-Furnished,9.0,11,31,8.0,3,4,1,Gated,Gym+Pool,South,Individual,Available
1619,Telangana,Hyderabad,Banjara Hills,Apartment,3,1289,184.77,14334.37,1999,Fully Furnished,4.0,9,25,3.0,2,3,0,Gated,Gym,North-East,Builder,Available
1620,Telangana,Hyderabad,Thane,House,2,1144,106.58,9316.43,2010,Semi-Furnished,20.0,26,14,7.0,3,1,1,None,All,West,Agent,Under Construction
1621,Maharashtra,Pune,Powai,Apartment,4,2006,162.73,8112.16,1999,Unfurnished,2.0,3,25,4.0,7,6,3,None,All,West,Agent,Under Construction
1622,Telangana,Warangal,Kondapur,Apartment,4,2101,93.17,4434.55,1996,Fully Furnished,5.0,9,28,9.0,3,2,2,Gated,Clubhouse,North,Agent,Available
1623,Delhi,Rohini,Thane,Apartment,4,1915,158.98,8301.83,2002,Semi-Furnished,5.0,8,22,6.0,3,9,0,Gated,Clubhouse,South,Builder,Under Construction
1624,Delhi,Rohini,HSR Layout,Apartment,3,1219,94.29,7735.03,2019,Semi-Furnished,,4,5,8.0,6,7,0,Gated,All,North,Individual,Sold
1625,Telangana,Warangal,Kondapur,Villa,2,590,32.72,5545.76,2019,Semi-Furnished,7.0,15,5,4.0,6,6,0,Guard,Clubhouse,North-East,Builder,Sold
1626,Maharashtra,Pune,Gachibowli,Studio,2,1091,109.46,10033.0,2010,Fully Furnished,7.0,16,14,8.0,7,4,3,Guard,None,East,Individual,Under Construction
1627,Maharashtra,Pune,Thane,Studio,3,1395,126.2,9046.59,1994,Unfurnished,19.0,25,30,4.0,0,2,3,CCTV,,South,Individual,Available
1628,Delhi,Rohini,Gachibowli,Apartment,4,1722,154.22,8955.87,2004,Semi-Furnished,19.0,23,20,9.0,0,2,0,None,Pool,West,Agent,Available
1629,Delhi,Dwarka,Salt Lake,Apartment,2,665,77.4,11639.1,2007,Fully Furnished,8.0,12,17,0.0,5,2,1,None,None,North-East,Builder,Available
1630,Gujarat,Surat,Satellite,Apartment,3,1449,101.31,6991.72,1994,Semi-Furnished,12.0,16,30,0.0,0,4,2,CCTV,Clubhouse,South,Builder,Available
1631,Karnataka,Mysore,Gachibowli,Studio,4,1964,73.32,3733.2,1995,Fully Furnished,16.0,19,29,0.0,2,2,0,Guard,Gym,South,Individual,Sold
1632,Karnataka,Mysore,Koramangala,House,4,2048,193.42,9444.34,1996,Fully Furnished,13.0,15,28,3.0,2,5,0,CCTV,Clubhouse,North-East,Builder,Available
1633,Delhi,Rohini,Powai,Apartment,3,1480,147.44,9962.16,2010,Fully Furnished,4.0,13,14,4.0,0,1,2,None,,East,Agent,Under Construction
1634,Karnataka,Bangalore,Whitefield,Villa,2,947,63.11,6664.2,2019,Fully Furnished,6.0,10,5,9.0,0,5,3,CCTV,Gym+Pool,North-East,Builder,Available
1635,Tamil Nadu,Chennai,Kondapur,Villa,3,1518,151.8,10000.0,2012,Unfurnished,10.0,17,12,2.0,0,7,2,Guard,Clubhouse,West,Builder,Available
1636,Delhi,New Delhi,Gomti Nagar,Apartment,2,1131,167.54,14813.44,2009,Unfurnished,11.0,15,15,,3,6,2,Gated,Pool,West,Builder,Available
1637,Gujarat,Vadodara,Powai,House,3,1278,135.25,10582.94,1999,Unfurnished,21.0,28,25,1.0,0,7,3,Gated,Gym,East,Individual,Under Construction
1638,Rajasthan,Jodhpur,Indiranagar,Villa,4,1884,186.56,9902.34,2003,Fully Furnished,16.0,25,21,,6,6,3,None,Gym+Pool,South,Agent,Under Construction
1639,Tamil Nadu,Chennai,Koramangala,Apartment,3,1303,86.02,6601.69,1998,Fully Furnished,10.0,18,26,3.0,5,8,3,None,Gym+Pool,,Agent,Available
1640,Maharashtra,Pune,Salt Lake,House,5,2554,98.08,3840.25,2021,Fully Furnished,1.0,10,3,5.0,4,6,1,Gated,Gym+Pool,North-East,Individual,Sold
1641,Karnataka,Hubli,Koramangala,Apartment,1,300,27.32,9106.67,1995,Semi-Furnished,22.0,30,29,3.0,0,5,3,Gated,Gym,East,Builder,Available
1642,Karnataka,Bangalore,Gomti Nagar,Apartment,2,978,53.44,5464.21,1995,Fully Furnished,13.0,20,29,9.0,3,9,0,CCTV,Gym+Pool,South,Builder,Available
1643,Rajasthan,Jaipur,Andheri,Villa,4,1890,163.26,8638.1,2002,Fully Furnished,22.0,24,22,8.0,4,6,1,None,None,North,Builder,Available
1644,Rajasthan,Jaipur,Whitefield,House,3,1490,168.93,11337.58,2020,Semi-Furnished,22.0,23,4,1.0,5,8,2,Guard,,North-East,Individual,Sold
1645,Karnataka,Hubli,Gomti Nagar,Apartment,3,1348,136.51,10126.85,1999,Semi-Furnished,20.0,21,25,8.0,4,8,2,CCTV,Clubhouse,South-West,Individual,Under Construction
1646,Rajasthan,Jaipur,Gachibowli,House,5,2504,92.94,3711.66,2021,Fully Furnished,24.0,31,3,5.0,4,7,2,Guard,Gym,North-East,Individual,Under Construction
1647,Tamil Nadu,Chennai,Satellite,Apartment,4,1795,88.63,4937.6,2020,Fully Furnished,16.0,19,4,6.0,2,5,2,Gated,Gym,East,Builder,Under Construction
1648,West Bengal,Howrah,Powai,Apartment,3,1539,171.0,11111.11,2001,Unfurnished,7.0,15,23,7.0,5,9,1,None,Gym,West,Individual,Sold
1649,Rajasthan,Udaipur,Gachibowli,Apartment,3,1565,135.78,8676.04,1991,Unfurnished,6.0,10,33,4.0,2,5,3,None,Pool,South-West,Agent,Available
1650,Maharashtra,Nagpur,Powai,Villa,2,977,53.26,5451.38,2016,Fully Furnished,4.0,5,8,5.0,4,9,3,CCTV,Gym,North,Agent,Under Construction
1651,Gujarat,Vadodara,Jubilee Hills,House,2,857,35.38,4128.35,2014,Semi-Furnished,8.0,15,10,7.0,1,7,0,None,Pool,North-East,Individual,Available
1652,Gujarat,Ahmedabad,Kondapur,Apartment,1,534,57.23,10717.23,2007,Semi-Furnished,,21,17,7.0,1,7,3,Gated,Pool,North,Agent,Available
1653,Gujarat,Surat,Salt Lake,Apartment,2,770,54.81,7118.18,1993,Fully Furnished,17.0,19,31,1.0,6,4,3,Gated,Gym,South-West,Builder,Available
1654,Karnataka,Mysore,Gomti Nagar,Villa,1,373,15.52,4160.86,2018,Semi-Furnished,8.0,17,6,1.0,7,4,0,Guard,,South,Builder,Available
1655,West Bengal,Howrah,Gachibowli,Apartment,4,1830,164.57,8992.9,2014,Semi-Furnished,20.0,23,10,8.0,0,9,1,Gated,Gym+Pool,South,Agent,Available
1656,Tamil Nadu,Madurai,Salt Lake,Apartment,2,1060,83.65,7891.51,2018,Unfurnished,16.0,18,6,2.0,3,3,3,None,Gym,East,Individual,Under Construction
1657,Delhi,Rohini,Powai,Apartment,2,946,51.5,5443.97,2014,Fully Furnished,20.0,28,10,4.0,0,9,1,Gated,Pool,West,Builder,Under Construction
1658,Delhi,Dwarka,HSR Layout,Apartment,5,2193,182.19,8307.8,2015,Fully Furnished,23.0,29,9,1.0,3,1,2,CCTV,Gym+Pool,East,Individual,Under Construction
1659,Telangana,Karimnagar,Gachibowli,Studio,3,1223,97.18,7946.03,2012,Semi-Furnished,23.0,32,12,4.0,7,2,1,CCTV,Gym+Pool,North-East,Builder,Available
1660,West Bengal,Howrah,Kondapur,Apartment,4,1906,185.38,9726.13,2000,Unfurnished,20.0,23,24,4.0,0,3,3,None,Clubhouse,North-East,Agent,Available
1661,Maharashtra,Pune,Thane,Apartment,2,928,97.81,10539.87,1997,Fully Furnished,23.0,28,27,8.0,1,8,2,Guard,Gym+Pool,North,Builder,Available
1662,Rajasthan,Jodhpur,Koramangala,House,1,404,48.46,11995.05,2005,Unfurnished,3.0,6,19,,2,8,1,Guard,Clubhouse,North,Builder,Available
1663,Telangana,Karimnagar,Satellite,Studio,4,1888,219.53,11627.65,2017,Fully Furnished,12.0,17,7,7.0,6,6,3,Gated,Gym+Pool,South-West,Individual,Available
1664,Rajasthan,Jaipur,Koramangala,Apartment,2,937,66.0,7043.76,2021,Semi-Furnished,0.0,9,3,3.0,4,3,1,CCTV,None,South-West,Builder,Sold
1665,Tamil Nadu,Madurai,Banjara Hills,Villa,4,1730,159.07,9194.8,2012,Fully Furnished,17.0,21,12,3.0,5,8,2,Guard,All,South,Individual,Under Construction
1666,Telangana,Karimnagar,Whitefield,Apartment,2,463,53.36,11524.84,2017,,10.0,17,7,2.0,5,2,2,Guard,Pool,North,Individual,Available
1667,Telangana,Warangal,Banjara Hills,Villa,3,1537,126.22,8212.1,1999,Fully Furnished,7.0,15,25,2.0,0,7,3,CCTV,Gym,West,Builder,Under Construction
1668,Delhi,New Delhi,Gomti Nagar,Apartment,2,1010,143.37,14195.05,1992,,10.0,16,32,1.0,7,8,0,Gated,None,South-West,Builder,Available
1669,Gujarat,Ahmedabad,Gachibowli,House,3,1491,76.67,5142.19,2003,Unfurnished,18.0,19,21,5.0,5,7,0,Gated,Gym,West,Builder,Available
1670,Tamil Nadu,Coimbatore,Koramangala,House,3,1037,114.06,10999.04,2015,Fully Furnished,13.0,18,9,8.0,2,6,2,CCTV,None,West,Agent,Available
1671,West Bengal,Howrah,Thane,Apartment,2,874,58.42,6684.21,1990,Semi-Furnished,6.0,11,34,0.0,5,1,1,CCTV,All,North,Individual,Under Construction
1672,Karnataka,Mysore,Satellite,Apartment,5,2628,136.95,5211.19,2013,Semi-Furnished,14.0,20,11,5.0,2,3,3,Guard,Pool,North-East,Individual,Available
1673,Rajasthan,Udaipur,Electronic City,Apartment,3,1584,64.97,4101.64,2013,Unfurnished,5.0,11,11,8.0,0,4,3,CCTV,Clubhouse,South,Individual,Under Construction
1674,Karnataka,Hubli,Banjara Hills,Apartment,4,1893,226.73,11977.28,2022,Semi-Furnished,11.0,12,2,2.0,1,3,3,None,All,South,Agent,Available
1675,Karnataka,Mysore,Powai,Studio,2,866,87.76,10133.95,1990,Fully Furnished,9.0,13,34,6.0,5,6,0,Gated,None,North,Builder,Available
1676,Tamil Nadu,Coimbatore,Koramangala,Apartment,3,1188,54.23,4564.81,2008,Fully Furnished,9.0,18,16,2.0,2,7,1,Gated,None,North,Agent,Available
1677,Delhi,Dwarka,Andheri,House,4,1769,205.35,11608.25,1990,Semi-Furnished,8.0,17,34,0.0,7,8,1,None,Clubhouse,North,Individual,Available
1678,Tamil Nadu,Coimbatore,Salt Lake,House,2,1122,105.99,9446.52,2009,Fully Furnished,19.0,26,15,4.0,0,2,1,None,All,North,Agent,Sold
1679,Karnataka,Mysore,Salt Lake,Apartment,2,711,72.83,10243.32,1991,Unfurnished,3.0,9,33,6.0,5,4,1,Guard,Clubhouse,West,Individual,Available
1680,Telangana,Hyderabad,Gachibowli,Villa,4,1964,320.9,16339.1,2018,Unfurnished,,15,6,5.0,5,6,3,Gated,Clubhouse,North-East,Agent,Under Construction
1681,Maharashtra,Pune,HSR Layout,Apartment,3,1400,162.58,11612.86,2019,Semi-Furnished,15.0,23,5,4.0,0,6,1,Guard,Pool,East,Individual,Available
1682,Gujarat,Ahmedabad,Kondapur,House,3,1085,147.99,13639.63,1994,Fully Furnished,17.0,23,30,5.0,5,4,2,Guard,Gym,North,Individual,Under Construction
1683,Gujarat,Ahmedabad,Gomti Nagar,Studio,3,1409,100.19,7110.72,2022,Unfurnished,19.0,22,2,3.0,0,2,0,CCTV,Gym+Pool,North-East,Individual,Available
1684,Telangana,Karimnagar,Salt Lake,House,4,1945,136.92,7039.59,2001,Semi-Furnished,1.0,7,23,5.0,2,9,0,None,Clubhouse,East,Individual,Available
1685,Karnataka,Bangalore,Jubilee Hills,Apartment,3,1468,192.2,13092.64,2010,Semi-Furnished,9.0,16,14,6.0,0,8,2,None,Clubhouse,South,Builder,Under Construction
1686,Tamil Nadu,Madurai,Banjara Hills,Villa,4,1870,120.91,6465.78,2000,Semi-Furnished,,13,24,1.0,0,9,1,CCTV,Gym,,Builder,Available
1687,West Bengal,Howrah,Koramangala,Apartment,4,1774,110.19,6211.39,1994,Semi-Furnished,4.0,8,30,,0,2,0,Guard,None,East,Agent,Available
1688,Delhi,Dwarka,Electronic City,House,3,1330,67.81,5098.5,2002,Fully Furnished,1.0,3,22,4.0,3,2,2,Guard,All,North,Builder,Available
1689,Tamil Nadu,Coimbatore,Powai,Villa,2,817,29.4,3598.53,2005,Semi-Furnished,21.0,26,19,0.0,2,7,2,Guard,All,,Builder,Sold
1690,Tamil Nadu,Madurai,Indiranagar,House,3,1441,93.05,6457.32,2007,Semi-Furnished,22.0,28,17,3.0,7,2,3,CCTV,Gym,North-East,Agent,Under Construction
1691,Gujarat,Ahmedabad,Koramangala,House,2,698,80.36,11512.89,2021,Semi-Furnished,0.0,2,3,1.0,2,5,3,Gated,None,South-West,Individual,Under Construction
1692,Telangana,Warangal,Whitefield,Villa,3,1165,74.67,6409.44,2019,Fully Furnished,4.0,5,5,,3,3,3,Guard,Clubhouse,North-East,Builder,Under Construction
1693,Rajasthan,Jodhpur,Powai,Apartment,3,1462,120.55,8245.55,1995,Unfurnished,24.0,25,29,,0,8,0,CCTV,None,South-West,Builder,Available
1694,Gujarat,Ahmedabad,Satellite,House,2,604,40.19,6653.97,1991,Fully Furnished,20.0,29,33,9.0,0,2,3,Gated,Gym+Pool,North-East,Individual,Available
1695,Maharashtra,Mumbai,Powai,Villa,3,1377,267.8,19448.08,2015,Semi-Furnished,17.0,21,9,8.0,6,7,0,None,Gym,North,Builder,Available
1696,Rajasthan,Udaipur,Gachibowli,Studio,3,988,78.22,7917.0,2015,Semi-Furnished,2.0,8,9,3.0,5,2,3,None,All,East,Builder,Available
1697,Telangana,Karimnagar,Koramangala,Apartment,3,1215,93.54,7698.77,2014,Unfurnished,15.0,16,10,6.0,2,1,0,Gated,None,North-East,Individual,Available
1698,West Bengal,Siliguri,Whitefield,Villa,3,1565,61.09,3903.51,2005,Semi-Furnished,23.0,30,19,6.0,2,2,1,Gated,Gym,West,Individual,Available
1699,Tamil Nadu,Coimbatore,Electronic City,Apartment,3,1364,56.08,4111.44,2007,Semi-Furnished,2.0,4,17,9.0,6,1,0,CCTV,Gym+Pool,East,Builder,Available
1700,Delhi,Rohini,Andheri,Apartment,3,1606,63.29,3940.85,2021,Semi-Furnished,24.0,33,3,5.0,2,7,1,Guard,All,South-West,Builder,Sold
1701,Tamil Nadu,Coimbatore,Jubilee Hills,Villa,2,712,45.84,6438.2,2010,Unfurnished,8.0,10,14,0.0,3,4,0,Gated,All,South,Individual,Under Construction
1702,Rajasthan,Jaipur,Indiranagar,Apartment,2,754,86.21,11433.69,2021,Unfurnished,8.0,17,3,1.0,7,9,1,CCTV,Clubhouse,North-East,Individual,Under Construction
1703,Rajasthan,Udaipur,Electronic City,Studio,3,1442,150.66,10447.99,2004,Unfurnished,19.0,25,20,5.0,3,3,3,None,All,South,Builder,Under Construction
1704,Karnataka,Mysore,Electronic City,Apartment,2,902,34.57,3832.59,1992,Fully Furnished,2.0,5,32,9.0,3,3,1,Gated,Gym,South,Individual,Under Construction
1705,West Bengal,Howrah,Gomti Nagar,Apartment,2,922,101.25,10981.56,2008,Semi-Furnished,0.0,7,16,9.0,4,7,1,Guard,Gym+Pool,East,Builder,Available
1706,Tamil Nadu,Madurai,Powai,Apartment,1,579,36.55,6312.61,2021,Semi-Furnished,0.0,6,3,4.0,6,9,2,None,Gym+Pool,North-East,Builder,Under Construction
1707,Delhi,Dwarka,Gachibowli,Apartment,1,491,35.33,7195.52,2006,Unfurnished,16.0,25,18,4.0,5,2,2,Guard,Gym,South-West,Builder,Under Construction
1708,Telangana,Hyderabad,Andheri,Apartment,3,1701,261.28,15360.38,2007,Semi-Furnished,9.0,17,17,1.0,3,9,3,CCTV,Pool,North-East,Agent,Under Construction
1709,Karnataka,Hubli,Electronic City,House,2,816,50.38,6174.02,2011,Fully Furnished,0.0,8,13,4.0,4,2,2,Guard,All,North-East,Agent,Available
1710,Karnataka,Bangalore,Electronic City,Apartment,3,1140,174.79,15332.46,2022,Fully Furnished,18.0,21,2,2.0,6,3,3,Gated,Clubhouse,South-West,Individual,Available
1711,Rajasthan,Jodhpur,Whitefield,Villa,2,915,40.99,4479.78,1995,Semi-Furnished,5.0,14,29,9.0,4,8,1,CCTV,Pool,South-West,Agent,Available
1712,Tamil Nadu,Coimbatore,Electronic City,Villa,3,1141,115.76,10145.49,2014,Semi-Furnished,4.0,13,10,8.0,4,7,1,CCTV,All,North-East,Agent,Available
1713,Delhi,Dwarka,Thane,Studio,3,1328,68.31,5143.83,2021,Fully Furnished,3.0,12,3,6.0,6,5,0,None,All,South,Agent,Sold
1714,West Bengal,Siliguri,Salt Lake,House,2,877,52.82,6022.81,2000,Unfurnished,4.0,11,24,7.0,2,8,1,None,None,East,Individual,Under Construction
1715,Karnataka,Mysore,Indiranagar,Studio,3,1258,122.95,9773.45,1997,Unfurnished,3.0,7,27,6.0,7,9,1,Guard,Pool,West,Builder,Under Construction
1716,Rajasthan,Jodhpur,Jubilee Hills,House,3,1323,61.28,4631.9,2002,Fully Furnished,18.0,19,22,1.0,1,7,2,CCTV,Clubhouse,North,Individual,Sold
1717,West Bengal,Siliguri,Banjara Hills,Villa,2,1092,113.04,10351.65,2006,Semi-Furnished,12.0,18,18,8.0,0,9,2,CCTV,All,South-West,Builder,Available
1718,Maharashtra,Pune,Salt Lake,Villa,4,1866,88.15,4724.01,1991,,17.0,25,33,5.0,7,9,0,None,Clubhouse,South-West,Agent,Available
1719,Gujarat,Ahmedabad,Satellite,Apartment,3,1400,116.73,8337.86,2018,Fully Furnished,3.0,9,6,9.0,3,3,2,Gated,None,South-West,Agent,Under Construction
1720,West Bengal,Howrah,Gomti Nagar,House,2,711,35.55,5000.0,1999,Fully Furnished,13.0,17,25,,0,7,1,None,None,South,Builder,Available
1721,Delhi,New Delhi,Banjara Hills,Villa,4,1899,180.71,9516.06,2015,Semi-Furnished,6.0,11,9,0.0,3,8,2,CCTV,None,South-West,Individual,Under Construction
1722,Telangana,Karimnagar,Kondapur,Villa,2,815,38.61,4737.42,2001,Fully Furnished,18.0,19,23,9.0,2,1,1,None,Clubhouse,South-West,Individual,Under Construction
1723,Gujarat,Surat,Satellite,Studio,4,1757,165.66,9428.57,1996,Fully Furnished,4.0,13,28,1.0,6,9,2,Gated,None,North-East,Agent,Available
1724,Tamil Nadu,Coimbatore,Salt Lake,Apartment,3,1348,74.63,5536.35,1991,Semi-Furnished,23.0,25,33,6.0,1,7,0,None,None,West,Agent,Available
1725,Delhi,Rohini,Andheri,Villa,1,718,56.73,7901.11,2019,Semi-Furnished,0.0,7,5,7.0,6,3,1,None,Gym+Pool,West,Builder,Under Construction
1726,Gujarat,Ahmedabad,Kondapur,Apartment,3,1235,130.95,10603.24,2008,Fully Furnished,10.0,17,16,3.0,3,1,3,CCTV,Pool,West,Individual,Available
1727,Maharashtra,Pune,Thane,Apartment,2,640,40.44,6318.75,1992,,6.0,12,32,2.0,7,1,0,CCTV,Pool,East,Builder,Available
1728,Tamil Nadu,Coimbatore,Powai,Apartment,3,1400,161.76,11554.29,1998,Fully Furnished,8.0,15,26,9.0,4,9,2,CCTV,None,North,Builder,Available
1729,Gujarat,Surat,Salt Lake,Villa,3,1354,86.09,6358.2,2009,Semi-Furnished,4.0,13,15,4.0,3,4,0,None,Gym,West,Individual,Available
1730,Gujarat,Vadodara,Gachibowli,Apartment,2,740,87.32,11800.0,1992,Fully Furnished,7.0,15,32,4.0,4,8,1,Guard,Gym+Pool,North,Builder,Available
1731,West Bengal,Siliguri,Jubilee Hills,House,2,876,32.79,3743.15,1998,Fully Furnished,12.0,13,26,7.0,3,4,0,None,Gym+Pool,North,Individual,Under Construction
1732,Telangana,Warangal,Indiranagar,Apartment,1,476,56.8,11932.77,1992,,17.0,23,32,9.0,4,6,2,None,Pool,North-East,Agent,Sold
1733,West Bengal,Kolkata,Powai,Apartment,5,2256,135.65,6012.85,2016,Semi-Furnished,15.0,16,8,3.0,3,9,1,Gated,Gym,East,Agent,Sold
1734,Karnataka,Mysore,HSR Layout,Apartment,5,2118,131.7,6218.13,2019,Unfurnished,9.0,15,5,9.0,6,1,1,None,Gym,East,Builder,Under Construction
1735,Karnataka,Bangalore,Electronic City,Apartment,2,985,135.29,13735.03,2015,Unfurnished,13.0,15,9,7.0,3,1,3,Guard,Pool,South-West,Agent,Available
1736,Rajasthan,Jodhpur,Electronic City,Apartment,2,688,54.39,7905.52,1995,Unfurnished,16.0,18,29,,5,6,3,None,Pool,,Builder,Available
1737,Telangana,Hyderabad,Whitefield,Apartment,2,912,88.49,9702.85,2012,Unfurnished,7.0,12,12,4.0,3,4,2,Gated,All,West,Builder,Under Construction
1738,Delhi,New Delhi,Kondapur,House,2,637,58.1,9120.88,2012,Semi-Furnished,1.0,6,12,1.0,6,6,0,Guard,Pool,West,Builder,Available
1739,West Bengal,Howrah,Banjara Hills,Villa,2,877,47.76,5445.84,2022,Fully Furnished,,32,2,5.0,5,4,3,Guard,Gym,West,Individual,Available
1740,Telangana,Warangal,Powai,House,4,1634,103.38,6326.81,2002,Fully Furnished,10.0,14,22,6.0,4,8,1,CCTV,,,Builder,Under Construction
1741,Rajasthan,Jodhpur,Jubilee Hills,Villa,3,1447,164.06,11337.94,2017,Semi-Furnished,10.0,15,7,6.0,4,8,2,Gated,None,North,Builder,Under Construction
1742,West Bengal,Howrah,Powai,Apartment,3,1412,110.2,7804.53,1993,Fully Furnished,18.0,24,31,3.0,0,9,0,Gated,None,North,Builder,Sold
1743,Gujarat,Ahmedabad,Jubilee Hills,Penthouse,1,511,53.69,10506.85,2016,Unfurnished,16.0,25,8,3.0,2,3,0,None,All,West,Individual,Under Construction
1744,Gujarat,Surat,Kondapur,Villa,3,1325,53.34,4025.66,1993,Fully Furnished,10.0,19,31,2.0,2,2,0,Gated,Clubhouse,North,Individual,Sold
1745,Maharashtra,Nagpur,Whitefield,Apartment,5,2391,230.73,9649.94,2002,Fully Furnished,17.0,23,22,3.0,4,7,2,None,Clubhouse,South-West,Agent,Available
1746,Maharashtra,Nagpur,Andheri,Studio,2,1081,46.99,4346.9,2015,Unfurnished,12.0,18,9,7.0,7,9,0,CCTV,Pool,South,Agent,Available
1747,Maharashtra,Mumbai,Electronic City,Apartment,3,1450,238.2,16427.59,2010,Unfurnished,22.0,27,14,,6,7,0,Gated,,West,Individual,Under Construction
1748,Karnataka,Mysore,Gachibowli,Villa,2,845,90.66,10728.99,2000,Fully Furnished,15.0,19,24,1.0,4,7,0,Gated,Clubhouse,South,Individual,Under Construction
1749,Delhi,New Delhi,Gomti Nagar,Villa,3,1083,124.38,11484.76,2021,Unfurnished,24.0,27,3,2.0,5,8,0,Gated,None,South-West,Builder,Available
1750,Maharashtra,Mumbai,Satellite,Apartment,2,1003,90.0,8973.08,2013,Semi-Furnished,0.0,1,11,5.0,3,1,3,CCTV,Gym+Pool,South-West,Builder,Under Construction
1751,Maharashtra,Nagpur,Electronic City,Apartment,1,524,24.11,4601.15,1997,Fully Furnished,3.0,12,27,7.0,4,9,3,Gated,Gym+Pool,West,Builder,Available
1752,Delhi,New Delhi,Gomti Nagar,Villa,2,857,58.52,6828.47,2021,Unfurnished,24.0,27,3,9.0,3,1,2,Guard,None,South-West,Agent,Under Construction
1753,Rajasthan,Udaipur,Andheri,Apartment,5,2087,121.66,5829.42,2003,Fully Furnished,18.0,26,21,1.0,0,1,3,CCTV,Gym,South-West,Builder,Available
1754,Telangana,Karimnagar,Banjara Hills,House,2,837,98.93,11819.59,1992,Semi-Furnished,4.0,8,32,6.0,5,7,1,Guard,Gym+Pool,South,Individual,Under Construction
1755,Delhi,New Delhi,Gachibowli,Villa,3,1444,202.46,14020.78,2001,Fully Furnished,19.0,24,23,9.0,7,4,0,Guard,Clubhouse,South-West,Agent,Available
1756,West Bengal,Howrah,Thane,House,3,1264,96.29,7617.88,2017,Fully Furnished,3.0,10,7,5.0,6,7,0,Gated,None,South,Builder,Under Construction
1757,Tamil Nadu,Coimbatore,Gomti Nagar,House,3,1495,114.25,7642.14,1997,Unfurnished,24.0,29,27,4.0,1,9,2,CCTV,Pool,South,Individual,Available
1758,Rajasthan,Jaipur,Thane,Apartment,3,1275,90.59,7105.1,2002,Semi-Furnished,21.0,29,22,5.0,5,4,1,CCTV,None,East,Builder,Sold
1759,Tamil Nadu,Madurai,Gachibowli,Villa,3,1320,113.99,8635.61,1999,,0.0,1,25,4.0,4,1,0,None,None,North,Individual,Under Construction
1760,Telangana,Hyderabad,Thane,Apartment,2,943,62.4,6617.18,2013,Semi-Furnished,14.0,18,11,7.0,0,5,0,Gated,All,West,Agent,Under Construction
1761,Delhi,Rohini,HSR Layout,Studio,3,1013,72.1,7117.47,2005,Unfurnished,16.0,18,19,0.0,3,2,0,Gated,Gym+Pool,South,Builder,Available
1762,Delhi,Rohini,Thane,Apartment,3,1416,129.65,9156.07,2013,Fully Furnished,11.0,19,11,1.0,5,7,0,None,Pool,North-East,Individual,Available
1763,Rajasthan,Udaipur,Powai,Apartment,3,1621,65.01,4010.49,2011,Unfurnished,23.0,25,13,2.0,7,4,3,Guard,None,East,Builder,Under Construction
1764,Delhi,Dwarka,Jubilee Hills,Apartment,4,1898,191.81,10105.9,2009,Unfurnished,19.0,28,15,4.0,0,9,3,Gated,Pool,North,Builder,Under Construction
1765,West Bengal,Howrah,Electronic City,Apartment,2,882,67.2,7619.05,2006,Unfurnished,8.0,10,18,3.0,2,3,1,CCTV,None,East,Builder,Available
1766,Karnataka,Mysore,Powai,Apartment,3,1558,103.24,6626.44,2010,Semi-Furnished,3.0,11,14,6.0,1,2,2,Guard,None,West,Individual,Available
1767,Karnataka,Hubli,Thane,Villa,4,1711,110.37,6450.61,2005,Fully Furnished,4.0,13,19,8.0,5,5,1,None,Clubhouse,West,Agent,Available
1768,Rajasthan,Udaipur,Banjara Hills,Apartment,4,1759,76.32,4338.83,2020,Semi-Furnished,9.0,18,4,0.0,6,8,0,CCTV,Clubhouse,East,Agent,Available
1769,Telangana,Warangal,Salt Lake,Apartment,2,741,41.69,5626.18,2014,,19.0,27,10,8.0,6,1,0,None,All,East,Builder,Under Construction
1770,Delhi,Dwarka,Powai,Apartment,2,1187,101.24,8529.06,1990,Semi-Furnished,12.0,18,34,0.0,0,6,0,Guard,Gym,East,Builder,Under Construction
1771,Karnataka,Bangalore,Gomti Nagar,Apartment,1,502,71.16,14175.3,2018,Semi-Furnished,10.0,12,6,4.0,3,4,2,Gated,All,East,Individual,Available
1772,Telangana,Hyderabad,Indiranagar,Villa,4,1850,146.95,7943.24,1997,Unfurnished,13.0,15,27,5.0,7,9,1,None,None,East,Individual,Under Construction
1773,Delhi,Rohini,Kondapur,Apartment,1,457,38.52,8428.88,1990,Semi-Furnished,23.0,28,34,9.0,0,2,0,Gated,Clubhouse,South,Builder,Sold
